User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
14733363,male,68,190.0,94.0,29.0,105.0,40.8,231.0
14861698,female,20,166.0,60.0,14.0,94.0,40.3,66.0
11179863,male,69,179.0,79.0,5.0,88.0,38.7,26.0
16180408,female,34,179.0,71.0,13.0,100.0,40.5,71.0
17771927,female,27,154.0,58.0,10.0,81.0,39.8,35.0
15130815,female,36,151.0,50.0,23.0,96.0,40.7,123.0
19602372,female,33,158.0,56.0,22.0,95.0,40.5,112.0
11117088,male,41,175.0,85.0,25.0,100.0,40.7,143.0
12132339,male,60,186.0,94.0,21.0,97.0,40.4,134.0
17964668,female,26,146.0,51.0,16.0,90.0,40.2,72.0
13723164,female,36,177.0,76.0,1.0,74.0,37.8,3.0
13681290,female,21,157.0,56.0,17.0,100.0,40.0,92.0
15566424,male,66,171.0,79.0,11.0,90.0,40.0,58.0
12891699,female,32,157.0,54.0,18.0,93.0,40.4,88.0
13823829,male,53,182.0,85.0,2.0,82.0,38.1,7.0
17557348,female,39,156.0,62.0,28.0,104.0,40.8,170.0
12198133,male,39,182.0,82.0,4.0,82.0,38.6,11.0
15236104,male,46,169.0,67.0,11.0,89.0,40.2,43.0
11042324,female,27,171.0,65.0,4.0,85.0,38.6,15.0
16864285,male,50,188.0,86.0,14.0,94.0,40.2,74.0
11674347,male,67,189.0,93.0,8.0,77.0,39.2,29.0
19797300,female,31,148.0,50.0,8.0,84.0,39.5,32.0
14711095,female,33,157.0,60.0,3.0,80.0,38.7,10.0
14434854,female,20,165.0,59.0,29.0,100.0,41.0,155.0
14893804,male,48,182.0,85.0,1.0,80.0,37.7,3.0
17231597,male,29,176.0,75.0,10.0,83.0,39.7,24.0
10901446,male,33,173.0,73.0,7.0,78.0,39.3,12.0
15874362,male,42,190.0,88.0,3.0,83.0,38.9,10.0
15569252,female,62,159.0,59.0,29.0,106.0,41.2,195.0
15615743,male,38,171.0,75.0,2.0,81.0,38.2,5.0
13363046,male,20,183.0,88.0,16.0,97.0,40.5,69.0
17572853,female,25,160.0,59.0,24.0,102.0,40.3,136.0
17157339,female,24,165.0,59.0,18.0,91.0,40.2,80.0
